,fonte,uri,data,datadownload,texto,sumario,palavra_chave,autor,organizacao,titulo,id_msg
,TWT,http://twitter.com/Aparecido/status/187296261630730240,Tue Apr 03 18:51:23 BRT 2012,2012-04-03 18:51:51,"#pinheirinho #favelaqueima #porradaemestudantesusp #privatariatucana , realizacoes memoraveis dos tucanos em sp",-1,,Aparecido,NULL,NULL,187296261630730000
,TWT,http://twitter.com/Thais Liliane/status/187296928688648192,Tue Apr 03 18:54:02 BRT 2012,2012-04-03 18:54:30,@Pipo_CW7 kkkkkkkkkkkkkkkkkkkk VC que pensa !! Foi a PRIMEIRA pergunta que Fiz #Confesso kkkkkkkkkkk #Vergonha,-1,,Thais Liliane,NULL,NULL,187296928688648000
,TWT,http://twitter.com/Paulo Lucena/status/187297128513683457,Tue Apr 03 18:54:49 BRT 2012,2012-04-03 18:55:18,@GilbertoDeMelo_ kkkkkkkkkkkk #vergonha?,-1,,Paulo Lucena,NULL,NULL,187297128513683000
,TWT,http://twitter.com/?/status/187298395281567744,Tue Apr 03 18:59:51 BRT 2012,2012-04-03 19:00:20,HAHA fuui noo #jeean hooje e bha a mãe delee chego e meu Deus que #vergonha ela disse pra eu apareçe la de novo toma um café HSUAHSUAHSA,-1,,?,NULL,NULL,187298395281568000
,TWT,http://twitter.com/antonio jose /status/187298459081129984,Tue Apr 03 19:00:07 BRT 2012,2012-04-03 19:00:35,#vazamentochevron #pig não comenta nada do #livro #privatariatucana.@florencio1 #fb#fb#fb,-1,,antonio jose,NULL,NULL,187298459081130000
,TWT,http://twitter.com/antonio jose /status/187298503758843904,Tue Apr 03 19:00:17 BRT 2012,2012-04-03 19:00:46,#vazamentochevron #pig não comenta nada do #livro #privatariatucana .@florencio1 #fb#fb#fb http://t.co/6OuQlEor,-1,,antonio jose,NULL,NULL,187298503758844000
,TWT,http://twitter.com/?/status/187298522603847680,Tue Apr 03 19:00:22 BRT 2012,2012-04-03 19:00:50,ha ha chaamei o Marcinhoo laa HSUAHSUAHS #vergonha @marcinho_ve,-1,,?,NULL,NULL,187298522603848000
,TWT,"http://twitter.com/Ivete,quer chiclete?/status/187298696742969345",Tue Apr 03 19:01:03 BRT 2012,2012-04-03 19:01:32,"@CantinhoFas_VL Eu nem sei a minha altura,sério #vergonha kkkkkkkkk",-1,,"Ivete,quer chiclete?",NULL,NULL,187298696742969000
,TWT,http://twitter.com/?/status/187299072653266944,Tue Apr 03 19:02:33 BRT 2012,2012-04-03 19:03:01,@marcinho_ve aa nao euu tava com #vergonha quem era aqueelaa ? O.o ela me olhoo e riiu >.<,-1,,?,NULL,NULL,187299072653267000
,TWT,http://twitter.com/Simone Siqueira/status/187299234163339265,Tue Apr 03 19:03:11 BRT 2012,2012-04-03 19:03:40,aaaaaaaaaltas gargalhaadaaaaas :D com @IzaSabatine #vergonha da maamiis .-.,-1,,Simone Siqueira,NULL,NULL,187299234163339000
,TWT,http://twitter.com/José Cabral/status/187299578456973312,Tue Apr 03 19:04:34 BRT 2012,2012-04-03 19:05:02,Será que a #JampaDigital vai dar em pizza?,-1,,José Cabral,NULL,NULL,187299578456973000
,TWT,http://twitter.com/JJ Oliveira/status/187301882279100416,Tue Apr 03 19:13:43 BRT 2012,2012-04-03 19:14:11,O site da #PortoSeguro é uma #vergonha. Você que consultar a sua apólice e a mensagem é sempre a mesma Fila de resposta muito cheia ...,-1,,JJ Oliveira,NULL,NULL,187301882279100000
,TWT,http://twitter.com/ Princesa do Igor ?/status/187302013263024128,Tue Apr 03 19:14:14 BRT 2012,2012-04-03 19:14:42,dahora mesmo é ter que pagar mico na aula de física e tá o @andrematos3 o @Lucascorujaa_ e o @CicinhoAlencar_ tuuudo vendo u.ú #vergonha,-1,,Princesa do Igor ?,NULL,NULL,187302013263024000
,TWT,http://twitter.com/Do @Monguiito__ /status/187302053947785216,Tue Apr 03 19:14:24 BRT 2012,2012-04-03 19:14:52,@diego_hemp a nem vou falar ÇLAMSÇLMASÇ #Vergonha u.u,-1,,Do @Monguiito__,NULL,NULL,187302053947785000
,TWT,http://twitter.com/Mila Monteiro ????/status/187302847933718528,Tue Apr 03 19:17:33 BRT 2012,2012-04-03 19:18:01,Ai Q #NOJO de ver a minha #Princesinha com a Pesti do Miguel,-1,,Mila Monteiro ????,NULL,NULL,187302847933718000
,TWT,http://twitter.com/manu/status/187304169907044352,Tue Apr 03 19:22:48 BRT 2012,2012-04-03 19:23:17,"@fideliter_lu se for chocolate n kero, pk comprei os meu e n comprei o seu #vergonha n brincs eu kero mais fik chat =(",-1,,manu,NULL,NULL,187304169907044000
,TWT,http://twitter.com/YanDeOliveira e tu?/status/187306012129247232,Tue Apr 03 19:30:07 BRT 2012,2012-04-03 19:30:36,Vocês se matariam se descobrissem a música da @tared_girl .-. #Vergonha aeuoiaueoaieuaoeiu s2,-1,,YanDeOliveira e tu?,NULL,NULL,187306012129247000
,TWT,http://twitter.com/Apaixono Rápido /status/187309149779005440,Tue Apr 03 19:42:36 BRT 2012,2012-04-03 19:43:04,@entaoadmita owwn há pára .. ^^ #Vergonha ^^,-1,,Apaixono Rápido,NULL,NULL,187309149779005000
,TWT,http://twitter.com/Fabio Costa /status/187309771538444290,Tue Apr 03 19:45:04 BRT 2012,2012-04-03 19:45:32,"@sargentoedgard,Algumas ações bem sucedidas, realizadas pelas Cias. Primeiro Batalhão quem levou a fama foi ou a 4ª DM ou a 9ª DM. #vergonha",-1,,Fabio Costa,NULL,NULL,187309771538444000
,TWT,http://twitter.com/Anderson Perius/status/187309791549464576,Tue Apr 03 19:45:09 BRT 2012,2012-04-03 19:45:37,Sandro Silva ?? Sr. Dorival quer entrega o jogo só era escala o Bolivar que já bastava ! #Vergonha,-1,,Anderson Perius,NULL,NULL,187309791549465000
,TWT,http://twitter.com/Leone Kristofferson/status/187310178411089920,Tue Apr 03 19:46:41 BRT 2012,2012-04-03 19:47:09,"A corrupção é um adoecimento social, afirma especialista http://t.co/rh28IfxC #Dilma #PT #LULA #PrivatariaTucana #PSDB",-1,,Leone Kristofferson,NULL,NULL,187310178411090000
,TWT,http://twitter.com/Buy #MDNAtoday/status/187310239777951744,Tue Apr 03 19:46:55 BRT 2012,2012-04-03 19:47:24,@caiovictor__ @_Marjorrie LMA7X Pelamor Caio. #vergonha,-1,,Buy #MDNAtoday,NULL,NULL,187310239777952000
